0.0,90.62,124.37,55.06,47.33,187.9,60.88,76.32,165.00,40.55,59.62,40.66,79.89,107.13,83.29,181.99,50.29,79.18,63.79,188.6,63.49,95.76,25.81,95.79,160.16,126.75,128.83,137.55,99.68,119.02
90.62,0.0,74.53,36.88,137.95,138.05,34.26,14.29,74.38,46.26,150.24,96.53,10.72,16.51,14.28,91.36,41.65,49.88,154.41,138.75,16.41,45.91,64.80,5.17,110.32,36.13,78.98,87.70,49.83,28.40
124.37,74.53,0.0,70.64,171.71,63.52,68.02,60.23,148.91,80.02,184.00,130.29,63.80,91.04,67.20,165.90,75.41,60.25,188.17,64.22,69.33,58.38,98.56,79.70,35.79,110.66,58.49,18.10,29.34,102.93
55.06,36.88,70.64,0.0,102.39,134.17,7.15,22.58,111.26,10.71,114.68,60.97,26.15,53.40,10.55,128.25,4.76,25.44,118.86,134.86,8.43,42.03,29.24,42.06,106.43,73.01,75.10,83.82,45.95,65.28
47.33,137.95,171.71,102.39,0.0,235.23,108.21,123.65,212.33,87.88,29.64,87.99,127.22,154.46,130.63,229.32,97.62,126.51,19.16,235.93,110.82,143.09,73.14,143.12,207.50,174.08,176.16,184.89,147.01,166.35
187.9,138.05,63.52,134.17,235.23,0.0,131.54,123.76,212.43,143.55,247.52,193.82,127.32,154.57,130.73,229.42,138.94,123.77,210.48,22.86,132.86,121.90,162.09,143.23,27.73,174.18,101.80,62.14,92.86,166.45
60.88,34.26,68.02,7.15,108.21,131.54,0.0,19.96,108.64,16.53,120.50,66.80,23.53,50.77,26.94,125.63,11.92,19.21,124.68,132.24,12.75,39.40,35.07,39.43,103.81,70.39,72.47,81.20,43.32,62.66
76.32,14.29,60.23,22.58,123.65,123.76,19.96,0.0,88.67,31.97,135.94,82,3.56,30.81,6.97,105.66,27.35,35.58,140.12,124.45,9.10,31.62,50.50,19.47,96.02,50.42,64.69,73.41,35.53,42.69
165.00,74.38,148.91,111.26,212.33,212.43,108.64,88.67,0.0,120.64,224.62,170.91,85.10,58.67,88.67,87.13,116.03,124.26,228.79,213.13,90.80,120.29,139.18,71.36,184.70,78.29,153.36,162.09,124.21,45.98
40.55,46.26,80.02,10.71,87.88,143.55,16.53,31.97,120.64,0.0,100.17,47.62,35.54,62.78,38.94,137.63,5.94,34.83,104.35,144.24,19.14,51.41,14.73,51.44,115.81,82.40,84.48,93.20,55.33,74.66
59.62,150.24,184.00,114.68,29.64,247.52,120.50,135.94,224.62,100.17,0.0,100.28,139.51,166.76,142.92,241.61,109.91,138.80,46.11,248.22,123.11,155.38,85.43,155.42,219.79,186.37,188.46,197.18,159.30,178.64
40.66,96.53,130.29,60.97,87.99,193.82,66.80,82.23,170.91,47.62,100.28,0.0,85.80,113.05,89.21,187.90,56.20,85.09,104.46,194.51,69.40,101.68,47.12,101.71,166.08,132.66,134.75,143.47,105.59,124.93
79.89,10.72,63.80,26.15,127.22,127.32,23.53,3.56,85.10,35.54,139.51,85.80,0.0,27.24,3.56,102.09,30.92,39.15,143.69,128.02,5.69,35.19,54.07,15.90,99.59,46.86,68.26,76.98,39.10,39.12
